batchName_post,batchStatus_post,batchDescription_put,batchName_put,batchNoOfClasses_put,batchStatus_put,programName_put,password,userEmailId,,,,,,,,,,,,,,,userComments1,userEduPg1,userEduUg1,userFirstName1,userLastName1,userLinkedinUrl1,userLocation1,loginStatus1,password1,roleIds,status,userLoginEmail1,userMiddleName1,userPhoneNumber1,roleId,userRoleStatus,userTimeZone,userVisaStatus1,,programDescription_post,programName_post,programStatus_post,,,Fname,Mname,Lname,PhnNum,TmZone,ULocation,ULinkedinUrl,EduUg,EduPg,UserCmts,uVisaStatus,uLoginEmail,,RID,URStatus,Rolid,,loGinStatus,PassWord,rolID,UStatus,UEmail,,,ID,USTATUS
March24-API Testers-SDET-SDET132-003,Active,This is new SDET,March24-API Testers-SDET-SDET002,9,Active,New SDET Program,Numpyninja@1,sdetorganizers@gmail.com,,,,,,,,,,,,,,,This is test,MBA,ENG,API Testers,TeamTwentyNine,http://www.linkedin.com/in/sirishasaripalli,Virginia,Active,siri2468,R01,Active,API Testers_001@gmail.com,B,7897897893,R01,Active,EST,H4-EAD,,This is SDET Program1,APITesters_Team28_SDET-,Active,,,APITestersFOUR,P, TeamTwentyEight,6547893456,EST,New York, http://www.linkedin.com/APITestersFOUR,Bcom,MCOM,SDET,H1B,apitestersfour@gmail.com,,R02,Inactive,R01,,Active,numpu@12,R02,Active,apitester123@gmail.com,,,R02,Inactive
%#*()?><,actvfdddfg,457476,March24-API Testers-SDET006,10,active,New SDET Program,Numpyninja@1,organizers@gmail.com,,,,,,,,,,,,,,,This is test,MBA,ENG,API Testers,TeamTwentyNine,http://www.linkedin.com/in/sirishasaripalli,Virginia,Active,siri2468,,Active,API Testers_001@gmail.com,B,7897897891,,Active,EST,H4-EAD,,This is  SDET Program2,APITesters_Team28_SDET-,Inactive,,,, P, TeamTwentyEight,6547893456, CST, new jersy , http://www.linkedin.com/APITestersFOUR, BTEC, MTEC, DA, H1B,apitestersfour@gmail.com,,R02,,,,Active,123@123,R04,Active,xyz123@gmail.com,,,R02,
March24-API Testers-SDET-SDET132-003,12345,,,9,Inactive,New SDET Program,Ninja@1,sdetorganizers@gmail.com,,,,,,,,,,,,,,,This is test,MBA,ENG,API Testers_001,Team29,http://www.linkedin.com/in/sirishasaripalli,Virginia,Active,siri2468,R01,Active,API Testers_001@gmail.com,B,7897897891,R01,,EST,H4-EAD,,null,APITesters_Team28_SDET-,Active,,,APITestersFOUR, P,,9.58E+09, IST,Indian-Citizen, http://www.linkedin.com/APITestersFOUR, BSC, MSC, DA, H4-EAD ,apitestersfour@gmail.com,,,Active,R03,,,123%9,R02,Active,apitest127@gmail.com,,,,Active
March24-API Testers-SDET-SDET132-003,Actve1234,This is new SDET,null,9,Inactive,New SDET Program,,,,,,,,,,,,,,,,,This is test,MBA,ENG,,TeamTwentyNine,http://www.linkedin.com/in/sirishasaripalli,Virginia,Active,siri2468,R01,Active,API Testers_001@gmail.com,B,7897897890,R01,Active,EST,H4-EAD,,This is  SDET Program2,,Active,,,APITestersFOUR, P, TeamTwentyEight,,EST,Indian-Citizen, http://www.linkedin.com/APITestersFOUR, BSC, MSC, DA, H4-EAD ,apitestersfour@gmail.com,,,,1234,,Active,123%07,,Active,apitester09@gmail.com,,,R03,Active
March24-API Testers-SDET-SDET132-003,Asd!%^,This is new SDET,!#$%?><:,9,Inactive,New SDET Program,,sdetorganizers@gmail.com,,,,,,,,,,,,,,,This is test,MBA,ENG,API Testers,,http://www.linkedin.com/in/sirishasaripalli,Virginia,Active,siri2468,R01,Active,API Testers_001@gmail.com,B,7897897897,R01,Active,EST,H4-EAD,,This is  SDET Program2,APITesters_Team28_SDET-,1234,,,APITestersFOUR, P, TeamTwentyEight,9.58E+09,,Indian-Citizen, http://www.linkedin.com/APITestersFOUR, BSC, MSC, DA, H4-EAD ,apitestersfour@gmail.com,,R03,Active,ASDF,,Inactive,123%09,R02,Active,,,,,
March24-API Testers-SDET-SDET132-003,,"!$%^&.,;'",March24-API Testers-SDET-SDET002,900,Inactive,New SDET Program,Numpyninja@1,,,,,,,,,,,,,,,,This is test,MBA,ENG,API Testers,TeamTwentyNine,http://www.linkedin.com/in/sirishasaripalli,Virginia,Active,siri2468,R01,Active,API Testers_001@gmail.com,B,7897897893,R01,Active,,H4-EAD,,This is  SDET Program2,APITesters_Team28_SDET-,null,,,APITestersFOUR, P, TeamTwentyEight,9.58E+09, EST,Indian-Citizen, http://www.linkedin.com/APITestersFOUR, BSC, MSC, DA,,apitestersfour@gmail.com,,R02,!23,#!%^&*,,,123%09,,Active,apitester120@gmail.com,,,,
March24-API Testers-SDET-SDET132-003,NULL,This is new SDET,March24-API Testers-SDET-SDET002,asdfg,active,New SDET Program,,,,,,,,,,,,,,,,,This is test,MBA,ENG,API Testers,TeamTwentyNine,http://www.linkedin.com/in/sirishasaripalli,Virginia,Active,siri2468,R01,Active,API Testers_001@gmail.com,B,7897897893,R01,Active,EST,,,,,,,,123#45, P, TeamTwentyEight,9.58E+09, EST,Indian-Citizen, http://www.linkedin.com/APITestersFOUR, BSC, MSC, DA, H4-EAD ,apitestersfour@gmail.com,,R03,12#AC,12!@we,,Active,123%10,,Active,,,,,
24-API Testers-SDET-SDET132-003,Active,This is !#$%^ SDET,March24-API Testers-SDET-SDET002,9,Inactive,New SDET Program,,,,,,,,,,,,,,,,,This is test,MBA,ENG,API Testers,TeamTwentyNine,http://www.linkedin.com/in/sirishasaripalli,Virginia,Active,siri2468,R01,Active,API Testers_001@gmail.com,,7897897893,R01,Active,EST,H4-EAD,,,,,,,APITestersFOUR, P,4knvtr234,9.58E+09, EST,Indian-Citizen, http://www.linkedin.com/APITestersFOUR, BSC, MSC, DA, H4-EAD ,apitestersfour@gmail.com,,,,,,,,,,,,,,
132-003,Active,123456,March24-API Testers-SDET-SDET002,9,Inactive,New SDET Program,,,,,,,,,,,,,,,,,This is test,MBA,ENG,API Testers,TeamTwentyNine,http://www.linkedin.com/in/sirishasaripalli,Virginia,Active,siri2468,R01,Active,,B,7897897893,R01,Active,,H4-EAD,,,,,,,APITestersFOUR, P, TeamTwentyEight,wertyhu@,,Indian-Citizen, http://www.linkedin.com/APITestersFOUR, BSC, MSC, DA, H4-EAD ,apitestersfour@gmail.com,,,,,,,,,,,,,,
,Active,NULL,March24-API Testers-SDET-SDET002,9,Inactive,New SDET 578768,,,,,,,,,,,,,,,,,This is test,MBA,ENG,API Testers,TeamTwentyNine,,Virginia,Active,siri2468,R01,Active,API Testers_001@gmail.com,B,7897897893,R01,Active,EST,H4-EAD,,,,,,,APITestersFOUR, P, TeamTwentyEight,9.58E+09,123ert,Indian-Citizen, http://www.linkedin.com/APITestersFOUR, BSC, MSC, DA, 123#$% ,apitestersfour@gmail.com,,,,,,,,,,,,,,
